brand,model,year,mileage,price,fuel,type,reliability,insurance_cost,maintenance_cost,suitable_driver_type,color,mpg_city,mpg_highway,safety_rating,cargo_space
Acura,ILX,2017,121226,20000,Petrol,Sedan,High,Medium,Medium,Student;Commuter,Silver,25,36,5,12
Acura,MDX,2010,211592,13500,Petrol,SUV,High,Medium,Medium,Family;Enthusiast,Blue,16,23,4,16
Acura,MDX,2011,224697,15500,Petrol,SUV,High,Medium,Medium,Family;Enthusiast,Red,16,23,5,16
Acura,MDX,2013,159938,18500,Petrol,SUV,High,Medium,Medium,Family;Enthusiast,White,18,27,5,16
Acura,MDX,2016,115133,24500,Petrol,SUV,High,Medium,Medium,Family;Enthusiast,Black,18,27,5,15
Acura,MDX,2021,59417,35500,Petrol,SUV,High,Medium,Medium,Family;Enthusiast,Gray,19,26,5,15
Acura,RDX,2017,118956,26000,Petrol,SUV,High,High,Medium,Enthusiast;Family,White,20,28,5,27
Acura,TLX,2015,117092,18500,Petrol,Sedan,High,Medium,Medium,Enthusiast;Commuter,Silver,21,34,5,14
Acura,TLX,2016,137456,19500,Petrol,Sedan,High,Medium,Medium,Enthusiast;Commuter,White,24,35,5,14
Acura,TLX,2019,71360,24000,Petrol,Sedan,High,High,Medium,Enthusiast;Family,Gray,23,33,5,14
Acura,TLX,2021,41633,28500,Petrol,Sedan,High,Medium,Medium,Enthusiast;Commuter,Black,22,31,5,14
Alfa Romeo,Giulia,2018,86235,30000,Petrol,Sedan,Low,High,High,Enthusiast,Red,24,33,5,13
Audi,A3,2018,77023,24000,Petrol,Sedan,Medium,High,High,Enthusiast,Silver,26,35,5,13
Audi,A4,2012,161981,16500,Petrol,Sedan,Medium,High,High,Enthusiast,Black,22,32,5,12
Audi,A4,2015,159141,21500,Petrol,Sedan,Medium,High,High,Enthusiast,White,24,34,5,12
Audi,A4,2017,118033,27000,Petrol,Sedan,Medium,High,High,Enthusiast,White,27,37,5,12
Audi,A4,2021,48843,35500,Petrol,Sedan,Medium,High,High,Enthusiast,Gray,24,31,5,12
Audi,Q5,2017,164254,31000,Petrol,SUV,Medium,High,High,Enthusiast,White,23,28,5,25
Audi,Q5,2018,102589,29000,Petrol,SUV,Medium,High,High,Luxury;Family,Gray,23,29,5,25
BMW,2 Series,2017,60189,22000,Petrol,Coupe,Medium,High,High,Enthusiast,Blue,23,34,4,11
BMW,3 Series,2011,145385,14500,Petrol,Sedan,Medium,High,High,Enthusiast,Silver,23,33,4,12
BMW,3 Series,2014,110545,19500,Petrol,Sedan,Medium,High,High,Enthusiast,Black,23,35,5,13
BMW,3 Series,2016,123942,25000,Petrol,Sedan,Medium,High,High,Enthusiast,Black,23,33,5,13
BMW,3 Series,2020,60247,32500,Petrol,Sedan,Medium,High,High,Enthusiast,White,26,36,5,13
BMW,X3,2017,116742,26000,Petrol,SUV,Medium,High,High,Luxury;Family,Black,23,30,5,28
BMW,X3,2018,119304,32000,Petrol,SUV,Medium,High,High,Enthusiast,Black,23,29,5,28
BMW,i3,2014,143434,16500,Electric,Hatchback,Medium,Medium,Medium,Commuter;Enthusiast,Blue,124,102,4,15
BMW,i3,2016,116650,19500,Electric,Hatchback,Medium,Medium,Medium,Commuter;Enthusiast,Black,137,111,4,15
BMW,i3,2018,93950,25000,Electric,Hatchback,Medium,Medium,Medium,Commuter;Enthusiast,Gray,124,102,4,15
BMW,i3,2020,69548,28500,Electric,Hatchback,Medium,Medium,Medium,Commuter;Enthusiast,Gray,153,136,4,15
Buick,Enclave,2011,267851,13500,Petrol,SUV,Medium,Medium,Medium,Family,Gray,15,22,4,116
Buick,Enclave,2013,163496,16500,Petrol,SUV,Medium,Medium,Medium,Family,Black,17,24,4,58
Buick,Enclave,2016,123061,22500,Petrol,SUV,Medium,Medium,Medium,Family,Silver,17,24,5,58
Buick,Enclave,2018,134307,28000,Petrol,SUV,Medium,Medium,Medium,Family,Black,18,26,5,58
Buick,Enclave,2021,56393,35500,Petrol,SUV,Medium,Medium,Medium,Family,White,18,26,5,58
Buick,Encore,2018,106204,15000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,White,25,33,4,19
Buick,Regal,2017,124144,19000,Petrol,Sedan,Medium,Medium,Medium,Family;Commuter,Gray,21,32,5,14
Cadillac,CTS,2014,123363,16500,Petrol,Sedan,Medium,High,High,Enthusiast,Silver,17,26,5,14
Cadillac,CTS,2016,114580,19500,Petrol,Sedan,Medium,High,High,Enthusiast,White,20,30,5,14
Cadillac,CTS,2017,100839,25000,Petrol,Sedan,Medium,High,High,Enthusiast,Black,20,30,5,14
Cadillac,CTS,2019,91935,28500,Petrol,Sedan,Medium,High,High,Enthusiast,Black,20,30,5,14
Cadillac,Escalade,2011,232799,22500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,12,18,4,61
Cadillac,Escalade,2013,146515,28500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Silver,14,18,4,60
Cadillac,Escalade,2016,126033,38500,Petrol,SUV,Medium,High,High,Enthusiast;Family,White,15,22,5,60
Cadillac,Escalade,2017,123450,45000,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,15,22,5,60
Cadillac,Escalade,2021,61286,58500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,14,19,5,60
Cadillac,XT5,2017,135991,30000,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,19,27,5,30
Cadillac,XT5,2018,124309,26500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Black,19,27,5,30
Cadillac,XT5,2021,65373,38500,Petrol,SUV,Medium,High,High,Enthusiast;Family,Gray,19,26,5,30
Chevrolet,Bolt,2018,83643,22000,Electric,Hatchback,Medium,Low,Low,Commuter;Student,Blue,127,108,5,17
Chevrolet,Bolt,2018,98195,18500,Electric,Hatchback,Medium,Low,Low,Commuter;Student,White,128,110,5,17
Chevrolet,Bolt,2021,57731,24500,Electric,Hatchback,Medium,Low,Low,Commuter;Student,Blue,120,108,5,17
Chevrolet,Camaro,2010,123990,12500,Petrol,Coupe,Medium,High,High,Enthusiast,Silver,16,24,4,11
Chevrolet,Camaro,2011,143269,13500,Petrol,Coupe,Medium,High,High,Enthusiast,Black,16,24,4,11
Chevrolet,Camaro,2014,129694,16500,Petrol,Coupe,Medium,High,High,Enthusiast,Red,17,28,4,11
Chevrolet,Camaro,2016,126769,22000,Petrol,Coupe,Medium,High,High,Enthusiast,Yellow,16,27,5,9
Chevrolet,Camaro,2017,78895,22000,Petrol,Coupe,Medium,High,Medium,Enthusiast,Yellow,20,30,4,9
Chevrolet,Camaro,2020,51264,24500,Petrol,Coupe,Medium,High,High,Enthusiast,Yellow,16,27,5,9
Chevrolet,Equinox,2017,145280,16000,Petrol,SUV,Medium,Medium,Medium,Family;Commuter,Silver,26,31,5,30
Chevrolet,Equinox,2018,117947,18000,Petrol,SUV,Medium,Medium,Medium,Family,White,26,32,5,30
Chevrolet,Express,2017,95148,22000,Petrol,Van,Medium,Medium,High,Family,Blue,11,16,3,239
Chevrolet,Malibu,2012,143826,8500,Petrol,Sedan,Medium,Medium,Medium,Family;Budget,Black,22,33,4,16
